Viauy | About Us;Viauy | Nosotros;Viauy | Sobre Nós
Commitment: We are committed to the objectives and values ​​of our company, working with dedication and perseverance to provide exceptional service.;Compromiso: Estamos comprometidos con los objetivos y valores de nuestra empresa, trabajando con dedicación y perseverancia para brindar un servicio excepcional.;Compromisso: Estamos comprometidos com os objetivos e valores de nossa empresa, trabalhando com dedicação e perseverança para prestar um serviço excepcional.
Service vocation: Placing our customers at the center of our attention, listening to their needs and expectations, and offering solutions Enthusiastic and committed.;Vocación de servicio: Colocar a nuestros clientes en el centro de nuestra atención, escuchando sus necesidades y expectativas, y ofreciendo soluciones entusiastas y comprometidas.;Vocação de servir: Colocar nossos clientes no centro de nossas atenções, ouvir suas necessidades e expectativas e oferecer soluções Entusiasmados e comprometidos.
Social responsibility: Contribute positively to the development of society, supporting initiatives and actions that promote the well-being and progress of the communities in which we operate.;Responsabilidad social: Contribuir positivamente al desarrollo de la sociedad, apoyando iniciativas y acciones que promuevan el bienestar y el progreso de las comunidades en las que operamos.;Responsabilidade social: Contribuir positivamente para o desenvolvimento da sociedade, apoiando iniciativas e ações que promovam o bem-estar e o progresso das comunidades em que atuamos.
Goals;Objetivos;Metas
Offer a first-class transportation service, guaranteeing the safety and comfort of our passengers on each journey.;Ofrecer un servicio de transporte de primera categoría, garantizando la seguridad y comodidad de nuestros pasajeros en cada trayecto.;Oferecer um serviço de transporte de primeira classe, garantindo a segurança e o conforto de nossos passageiros em cada viagem.
Exceed our customers expectations by providing personalized attention and efficient solutions to their needs.;Superar las expectativas de nuestros clientes al brindar una atención personalizada y soluciones eficientes ante sus necesidades.;Exceder as expectativas de nossos clientes, oferecendo atenção personalizada e soluções eficientes para suas necessidades.
Maintain and constantly renew our fleet of vehicles, implementing technologies that improve the travel experience.;Mantener y renovar constantemente nuestra flota de vehículos, implementando tecnologías que mejoren la experiencia de viaje.;Manter e renovar constantemente nossa frota de veículos, implementando tecnologias que melhorem a experiência de viagem.
Promote sustainable and environmentally friendly practices in all our operations.;Fomentar prácticas sostenibles y respetuosas con el medio ambiente en todas nuestras operaciones.;Promover práticas sustentáveis ​​e ecológicas em todas as nossas operações.
Be leaders in innovation within the transportation sector, adapting to changing market demands and improving continuously our services.;Ser líderes en innovación dentro del sector del transporte, adaptándonos a las demandas cambiantes del mercado y mejorando continuamente nuestros servicios.;Ser líderes em inovação no setor de transporte, adaptando-se às novas demandas do mercado e melhorando continuamente nossos serviços.
Establish strategic alliances that strengthen our presence and allow us to expand our routes to reach more destinations.;Establecer alianzas estratégicas que fortalezcan nuestra presencia y nos permitan expandir nuestras rutas para llegar a más destinos.;Estabelecer alianças estratégicas que fortaleçam nossa presença e nos permitam expandir nossa atuação. rotas para chegar a mais destinos.
Contribute positively to the development of the communities in which we operate, generating employment and supporting social and environmental initiatives.;Contribuir positivamente al desarrollo de las comunidades en las que operamos, generando empleo y apoyando iniciativas sociales y ambientales.;Contribuir positivamente para o desenvolvimento das comunidades onde atuamos, gerando empregos e apoiando iniciativas socioambientais.
